Program;Kod;opinie_0;opinie_1;opinie_2;opinie_3;projekt_0;projekt_1;projekt_2;projekt_3;motywacje_0;motywacje_1;motywacje_2;motywacje_3;zaangazowanie_0;zaangazowanie_1;zaangazowanie_2;zaangazowanie_3
BY_PL;ctcqsf;15;15;15;7.5;15;20;20;15;20;15;15;18;15;15;15;12
UA_PL;mzciwe;5;4;7.5;7.5;17.8;19;19;17;13.4;14;15;17;15;15;15;15
UA_PL;hmkwym;15;15;15;15;15.2;18;20;15;6.6;15;12;10;5;15;15;15
UA_PL;hzfmew;15;13;12;15;20;19;5;17;13.4;19;7;15;10;15;2;10
UA_PL;ncrkbe;15;15;15;15;13.8;17.2;17;15;6.6;16;12;10;0;14;0;10
UA_PL;bwabaq;5;5;7;10;9.4;11;12;13;13.4;15;14;12;7.5;10;15;15
BY_PL;mfopet;15;10;15;10;14;14;15;15;10;12;18;15;10;10;7.5;7.5
UA_PL;kschwl;15;12;7.5;12;16.4;17;13;17;9;10;12;13;0;10;7.5;5
UA_PL;qrwbbg;12;15;10;15;14.2;17;10;15;6.6;6;6;10;5;12;15;15
UA_PL;zduezk;0;0;0;0;14.9;15;15;14;13.4;16;15;15;5;12;15;10
UA_PL;zuxcoq;7.5;7.5;7.5;5;15.3;18;15;16;13.4;9;12;15;10;12;10;10
UA_PL;rkjllr;0;5;0;7.5;12.1;14;7;13;10;13;7;15;15;13;0;15
BY_PL;nzbyzz;7.5;7;7.5;13;13.9;16;20;17;16.4;15;14;17;10;5;0;10
UA_PL;vcqbrd;15;15;15;10;16.8;18;20;13;13.4;20;20;10;0;0;0;0
UA_PL;gkcfbp;15;5;7.5;7.5;11.6;17;12;12;6.6;16.5;12;12;15;12;0;12
UA_PL;nkqojm;0;0;0;0;20;20;20;17;13.4;19;20;17;0;0;0;0
BY_PL;tkgcpp;0;0;0;0;17;17;20;15;13.4;15;15;15;0;0;12;0
UA_PL;iebule;0;0;0;0;13;14;12;15;13.4;13;12;10;5;10;5;15
UA_PL;iwmdji;3;3;5;5;14;14;15;15;0;10;12;15;5;7;5;5
UA_PL;egzegi;0;0;0;0;18.35;18;18;17;10;17;16;17;0;7;0;3
UA_PL;aorkmw;15;15;15;15;15.55;15;15;15;9.8;16;15;15;0;2;0;0
BY_PL;eosfzr;15;12;7.5;15;17;13;15;14;15;14;12;12;0;12;0;9
UA_PL;rcinlg;15;15;15;15;12.4;15;15;5;6.6;5;15;10;0;0;0;0
UA_PL;pwjnkb;0;0;0;0;18.35;16;15;18;13.4;14;7;18;5;5;10;12.5
UA_PL;gphmjh;6;7.5;7.5;7.5;13.9;18;15;13;6.6;9;12;10;5;5;5;5
UA_PL;myxynr;0;0;0;0;13.8;14;7;10;13.4;14;12;10;15;15;15;15
BY_PL;aixdju;0;0;0;0;13.8;19;18;10;13.4;15;12;17;10;2;0;5
UA_PL;gvncya;7.5;0;0;7.5;20;18;15;15;13.4;16;14;13;0;0;0;3
UA_PL;hjqqit;0;0;0;0;8.6;7;7;7;6.6;13;12;12;5;10;12;15
UA_PL;fxltqy;0;0;0;0;16.1;15;20;17;6.6;7;15;15;0;0;3;0
UA_PL;dkuzcg;0;0;0;0;8;9;14;7;9.8;17;12;10;0;10;7;1
BY_PL;bdfnvt;0;0;0;0;11;14;12;13;10.5;11;12;12;0;10;12;7.5
UA_PL;nelypv;0;0;0;0;16;14;12;10;13.4;14;12;10;0;0;0;0
UA_PL;anxoft;0;0;0;0;12.6;12;12;12;6.6;10;10;10;10;12;15;10
UA_PL;uonujh;3;2;7.5;7.5;13;15;17;15;6.6;17;14;15;0;0;0;0
BY_PL;jabycd;0;0;0;0;15.2;15;15;8;14;12;5;10;0;5;5;5
UA_PL;nswqst;0;0;0;0;13.8;14;16;15;6.6;10;13;10;0;0;0;0
UA_PL;qaxool;0;0;0;0;11.6;16;12;15;6.6;15;5;15;0;0;0;0
UA_PL;hpccke;0;0;7.5;0;8.3;10;12;17;9.9;5;7;12;0;0;0;2
UA_PL;tuemar;0;0;0;0;11.6;12;12;13;6.6;2;7;13;0;3;0;3
BY_PL;ldoqid;0;0;0;0;10;10;10;9;6.6;7;7.5;10;0;7.5;15;12
UA_PL;otbzuk;15;15;7.5;7.5;11.6;10;12;10;6.6;7;5;10;0;5;0;5
UA_PL;twdouk;0;0;0;0;15.2;17;13;12;6.6;14;12;15;0;0;0;0
UA_PL;aqugcw;0;0;0;0;9.6;16;10;10;6.6;6.6;7;10;0;0;0;5
UA_PL;vukugu;0;0;0;0;7;6;7.5;5;13.4;12;10;8;0;2;0;1
UA_PL;hwasdm;0;0;0;0;14.2;13;12;10;6.6;7;7;10;0;13;0;0
UA_PL;zavqyf;0;0;0;0;16;18;13;15;4;6.6;12;10;0;2;0;0
UA_PL;ltolht;0;0;0;0;14;17;13;10;13.4;14;13;10;0;0;0;0
UA_PL;daecnu;0;0;0;0;11;13;7;5;6.6;6;7;5;0;0;0;0
BY_PL;yldsmd;0;0;0;0;6.67;5;15;5;13.4;14;10;8;0;2;0;1
UA_PL;eqnygi;0;0;10;7.5;0;0;10;7;0;0;10;7;0;0;0;0
UA_PL;vkzqho;0;0;0;0;14.5;15;15;10;9.9;10;10;10;0;0;0;0
UA_PL;bqargl;0;0;0;0;11.9;12;13;7;6.6;7;7;7;0;0;0;0
BY_PL;kioocf;0;0;0;0;11.6;6;7;3;13.4;18;12;10;0;3;0;1
UA_PL;yukqha;0;0;0;0;6.6;13;12;8;6.6;9;7;10;0;0;0;0
UA_PL;nveqwy;0;0;0;0;13.8;13;7;10;6.6;14;12;10;0;4;0;0
UA_PL;iyheit;0;0;0;0;9.3;9;14;8;8.6;8;7;8;0;0;0;0
UA_PL;qssmnt;0;0;0;0;9.4;15;14;14;8;12;14;10;0;0;0;0
UA_PL;fmjjeq;0;0;0;0;9;13;14;12.5;10;10;18;5;0;0;0;0
UA_PL;elypnb;0;0;0;0;6.8;8;10;7;6.7;14;7.5;8;0;10;10;10
UA_PL;uvitnq;0;0;0;0;0;0;0;0;6.6;3;2;1;0;0;0;0
UA_PL;cbsozr;0;0;0;0;7.6;7;10;5;6.6;5;7;5;0;0;0;0
BY_PL;guxjnw;0;0;0;0;11.6;12;7;10;0;3.3;5;5;0;0;0;0
UA_PL;ywcszh;0;0;0;0;5;4;5;5;6.6;5;5;5;0;0;0;0
BY_PL;cjctvq;0;0;0;0;6.7;4;5;3;6.6;3;7;5;0;0;0;0
UA_PL;wvxskn;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0
UA_PL;nhmiqq;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0
UA_PL;wxqfbw;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
